"- Facebook chief Mark Zuckerberg on Thursday announced the parent company's name is being changed to ""Meta"" to represent a future beyond just its troubled social network.",1
"The new handle comes as the social media giant tries to fend off one its worst crises yet and pivot to its ambitions for the ""metaverse"" virtual reality version of the internet that the tech giant sees as the future.",1
"Mark Bayer, president of Bayer Strategic Consulting, noted that, “A name change now—when Facebook is under intense scrutiny—reinforces the perception the company is trying to elude responsibility for its lengthening list of misdeeds.",1
"Even if disconnected from the current crisis, the name change will be seen as a clumsy PR move.",0
"“Over time, I hope that we are seen as a metaverse company.",1
“This is interesting because it is an apt example of an often-used marketing tactic to divert attention away from negative publicity by rebranding or introducing a new identity for the company.,1
“We’ve seen other companies like Google do this with the creation of Alphabet.,1
"It will be up to “Meta” and Mark Zuckerberg to prove that this switch wasn’t an obvious crisis communication strategy to divert from the crises plaguing Facebook, and that it backs up its rebranding explanations for the switch with real value for consumers and shareholders,” he concluded.",1
"Facebook will still be Facebook and each week will uncover yet another scandalous thing Zuckerberg & Co. have tried to cover up,” he said.",0
"While there is a long-standing Jewish tradition to rename a person going through life-threatening medical challenges, I don't think Zuckerberg had that in mind.",0
"Name change aside, the company has a lot of work to do to rebuild trust and confidence in consumers and demonstrate that it can really protect privacy while maintaining balanced and fair standards that are applied to everyone, not just select individuals.",1
"Agency, said “Facebook's decision to change the platform's name is a classic redirection to pull attention away from not only what the public perceives, but what every marketing professional knows.",1
It can’t hide or erase the past with a face lift.,0
"“Meta"" actually fits as a name, as it appears they are moving towards a data driven platform and not connecting people.",1
Facebook’s decision to rebrand is an ill-timed move but not for the reason you might think.,1
The author argues that the real problem is that Facebook is re-branding before its vision is a reality.,1
"Right now, social media remains the core of the company’s operations and revenues.",0
"By adopting a brand name that is based on future potential capabilities and a platform and products that, by Zuckerberg’s own admission, may not be offered for a decade, the company sets itself up to confuse people at best; at worst, it will disappoint people and further degrade their trust in the company.",1
Last week Facebook CEO Mark Zuckerberg announced his company is changing its name to Meta.,1
"The rebrand has been panned for many reasons: it’s a foolish attempt to distract from the criticism the company has recently faced; the metaverse that the new name refers to is not well-known or understood, so it’s confusing; Meta is a stupid company name, etc.",1
"Right now, social media remains the core of the company’s operations and revenues.",0
"By adopting a brand name that is based on future potential capabilities and a platform and products that, by Zuckerberg’s own admission, may not be established for nearly a decade, the company sets itself up to confuse people at best; at worst, it will disappoint people and further degrade their trust in the company.",1
It’s not surprising that Facebook would take this tact; many companies do.,1
"When business leaders want to change their company’s identity or reposition their business, they often turn to external messaging and communications first — a new name, a fresh logo, an advertising campaign.",1
There might have been a time in the past when a corporate makeover was effective at changing public opinion.,1
"By adopting a new name, Facebook may be trying to claim that it is developing innovative technologies that bring people together in new and exciting ways.",1
"It should have waited until it addressed these problems, and more importantly, established itself as a provider of metaverse products or applications before announcing a new brand.",1
That’s what Google did when its corporate entity was rebranded to Alphabet in 2015.,1
"Over many years leading up the change, Google’s business had expanded well beyond its search engine product.",1
"When the company adopted its new name, it had already become a tech conglomerate comprised of a wide range of companies and products including driverless cars, medical devices, and smart home appliances.",1
"As a result, the brand change not only made sense, but it also effectively minimized the associations between Google and its sister companies, shielding Google from concerns from the public raised about emerging technologies (“creepy” drones, dangerous autonomous vehicles, etc.)",1
and shielding the other entities from the profit expectations of Wall Street placed on Google.,1
"Despite its new name, Facebook cannot effectively create any separation between its social media business and the metaverse and other developments because the latter are only in their infancy.",1
"Of course, not all companies rely on name changes to repair their public images.",0
Consider Microsoft’s transformation.,1
"When CEO Satya Nadella set out to remake the company and address its critics, the company embraced AI, mobile, and cloud-first strategies; opened itself up to partnerships (e.g., Linux); aggressively pursued acquisitions (e.g., LinkedIn); and implemented digital transformation across its operations.",1
"And yet, Microsoft hasn’t felt the need to change its name or launch any kind of corporate campaign to promote the changes.",1
"Instead, it has relied on its operational and culture changes to resurrect its business and shift public opinion.",1
"With its rebranding effort, Facebook is making promises that it doesn’t seem able to deliver right now.",1
"The company was a manufacturer of potentially addictive opiate painkillers, a business it discontinued entirely in the United States last year.",1
"Johnson & Johnson, like other medical companies, has weathered its share of reputation-threatening controversies.",0
