Lordstown Motors Corp on Thursday reported its first quarterly profit as the electric-vehicle firm benefited from the sale of certain assets including its Ohio assembly line to Taiwanese contract manufacturer Foxconn.,1
"The EV company recorded a gain of more than $100 million in the April-June quarter from the Ohio asset sale, which was prompted by the need for funding amid industry-wide supply chain disruptions and rising material costs.",1
"On an adjusted basis, the company posted a loss of 19 cents per share that was narrower than analyst's average estimate of a 45 cents per share loss, according to Refinitiv data.",0
"Aug 4 (Reuters) - Russian miner Petropavlovsk has agreed to sell its domestic subsidiaries and a majority of its other units to metal producer UMMC-Invest for $600 million, after a months-long crisis set off by Western sanctions over the Ukraine invasion.",1
"Petropavlovsk went into administration in July after sanctions on Gazprombank (GZPRI.MM), its main lender and the sole buyer of its gold, left it unable to repay loans, making it one of the most high-profile Russian corporate casualties of the Ukraine situation.",1
"Petropavlovsk owned one of the only two plants in Russia which extract gold and other metals from ""refractory"" or difficult to process ore, and it is this asset being bought by UMMC, or Ural Mining Metallurgical Co, which is arguably the defunct company's most valuable asset.",1
Petropavlovsk said the sale is conditional on a number of matters but should be completed by Sept. 30.,1
"By Jessica Corso (August 3, 2022, 4:31 PM EDT) -- A new media company is accusing a company acting on behalf of its creditors of defying a Delaware Supreme Court decision by promising to sell assets that rightfully belong to the company, asking a Delaware Chancery Court judge this week to stop the sale before ""irreparable harm"" occurs.",1
Stream TV Networks Inc. notified the Delaware Chancery Court on Monday that SeeCubic Inc. plans to sell the company's assets despite a Delaware Supreme Court decision in June that found an agreement turning those assets over to SeeCubic invalid.,1
"You have to know what’s happening with clients, competitors, practice areas, and industries.",0
Law360 provides the intelligence you need to remain an expert and beat the competition.,1
"Access to attached documents such as briefs, petitions, complaints, decisions, motions, etc.",0
TRY LAW360 FREE FOR SEVEN DAYS,0
"Clearlake acquired Brightly, formerly known as ""Dude Solutions,"" in June 2019.",1
"Organic growth initiatives were centered on reshaping the operating expense structure of the business to enable profitable growth, while improving the quality of the Company's revenue streams.",0
The combination of these initiatives under Clearlake's ownership resulted in a material increase in annual recurring revenue and a significant expansion in the Company's EBITDA margins.,0
"Throughout Clearlake's ownership, Brightly expanded into new end-markets and geographies, as well as broadened its product offerings, expanding into solutions with a focus on ESG and sustainability management.",0
Brightly's sophisticated cloud-based platform leverages more than 20 years of data to deliver predictive insights that help users through the key phases of the entire asset lifecycle.,0
"Enters into an Asset Purchase Agreement with SF2 GSW, LLC (""SF2""), an affiliate of Stage Equity Partners, for a ""stalking horse"" bid for the sale of substantially all of the Company’s SaaS business, which bid is subject to higher and better offers through a competitive auction process.",1
Files voluntary Subchapter V petitions for Chapter 11 protection to implement a restructuring and sale of most of its software assets.,1
GetSwift will continue operating its business throughout the sale process.,1
Company continues to evaluate other strategic alternatives to maximize stakeholder value of all assets.,0
"In addition, the Company’s Australian subsidiary GetSwift Limited was placed into Liquidation on July 29, 2022, with Kate Conneely and Rahul Goyal of KordaMentha serving as the appointed Liquidators.",1
"As part of the reorganization process, the Company will file customary ""First Day"" motions to allow it to maintain its operations in the ordinary course.",0
The Company expects to receive Bankruptcy Court approval for all these routine requests.,0
"Under Section 363 of the U.S. Bankruptcy Code, subject to Bankruptcy Court approval, SF2 will serve as the ""stalking horse"" bidder, establishing a minimum value for substantially all of the Company’s SaaS assets.",1
"To effectuate the restructuring process, the Company has engaged Barclay Damon LLP.",0
"Forward-looking Information may relate to matters disclosed in this news release and to other matters identified in public filings relating to the Corporation, to the future outlook of the Corporation and anticipated events or results and may include statements regarding the future financial performance of the Corporation.",0
"The Corporation undertakes no obligation to update or revise any Forward-looking Information, whether as a result of new information, future events or otherwise, except as may be required by law.",0
Any Forward-looking Information contained in this news release is expressly qualified in its entirety by this cautionary statement.,0
The total square footage of the leased facility is 1.8 million ft2.,0
"Greenway is headquartered in Kingsville, Ontario, and leverages its agriculture and cannabis expertise in its aspiration to be a leading cannabis cultivator in Canada.",1
"Although the Company believes that such statements are reasonable and reflect expectations of future developments and other factors which management believes to be reasonable and relevant, the Company can give no assurance that such expectations will prove to be correct.",0
"On Monday, the Japanese billionaire unveiled an unprecedented $41 billion plan to sell off assets and shore up SoftBank Group Corp.’s crumbling market value in the face of the coronavirus pandemic.",1
SoftBank aims to sell assets to raise as much as 4.5 trillion yen ($41 billion) over the coming year to buy back stock and slash debt — an amount equivalent to almost its entire market value last week.,1
"The coronavirus-triggered rout has also spread to credit markets and sparked a surge in the cost of insuring debt against default — including that of SoftBank, whose credit-default swaps touched their highest level in about a decade.",1
Monday’s announcement appeared intended to underscore a point Son himself has made repeatedly: that SoftBank is worth far more than its current stock price thanks to holdings in industry leaders from e-commerce giant Alibaba Group Holding Ltd. to British chip designer Arm Holdings Plc and Japanese carrier arm SoftBank Corp. Its slice of Alibaba alone is worth more than $120 billion.,1
"SoftBank Corp., on the other hand, is a steady if unspectacular leader that generates cash to help fund Son’s global ambitions, and the group likes to use its stock as collateral for loans.",1
Part of the sale proceeds would go toward a new share buyback program of as much as 2 trillion yen that comes on top of previously announced repurchases.,1
SoftBank spokeswoman Hiroe Kotera declined to comment on whether it would sell shares in the Chinese e-commerce giant.,1
"The stock repurchase program announced Monday comes on top of a 500 billion yen plan announced just over a week ago, after activist shareholder Elliott Management Corp. called on the Japanese investment firm to boost returns.",0
"While SoftBank’s newly unveiled asset sale and buyback plan would go some way toward assuaging concerns about its situation, the big question remains the spread of Covid-19 and its ultimate impact on both investment activity and the broader economy.",1
"“SoftBank is now trying to sell its assets as the values for those are cheap,” said Mitsushige Akino, an executive officer at Ichiyoshi Asset Management Co. in Japan.",1
“Investment companies are supposed to purchase assets when they are cheap and sell them when they are expensive.,1
"The logo for Occidental Petroleum is displayed on a screen on the floor at the New York Stock Exchange (NYSE) in New York, U.S., April 30, 2019.",0
"The deal includes Occidental's interests in both the Jubilee and TEN fields, which together had net production of 22,000 barrels of oil equivalent per day for the second-quarter of 2021.",1
"An uptick in oil and gas prices have prompted companies to offload assets that they do not consider core to their business, spurring a number of smaller asset deals.",1
The company's divestitures as well as free cash flow generation have helped it repay about $4.5 billion of debt year-to-date.,1
"Occidental had sold some of its acreage in Texas' Permian basin for $508 million this year, while it also divested some of its assets in Wyoming, Colorado and Utah for about $1.33 billion last year, as well as some onshore assets in Colombia for $825 million.",1
LONDON (Reuters) - Leading energy companies are hoping to sell dozens of oil and gas fields and refineries worth more than $110 billion to curb both their ballooning debt and their carbon footprints.,1
"FILE PHOTO: FILE PHOTO: A combination of file photos shows the logos of five of the largest publicly traded oil companies; BP, Chevron, Exxon Mobil, Royal Dutch Shell, and Total.",0
"“This is not a very good time to sell assets,” Total CEO Patrick Pouyanne said while presenting the French giant’s strategy to switch to renewables on Wednesday.",1
"Eight of the world's top oil companies, Exxon Mobil XOM.N, Chevron CVX.N, Royal Dutch ShellRDSa.L, BPBP.L, Total TOTF.PA, Equinor EQNR.OL, Eni ENI.MI and ConocoPhillips COP.N, are expected to sell assets with resources of around 68 billion barrels of oil and natural gas equivalent.",1
"Yet with a narrowing pool of buyers and a growing reluctance to lend to the oil and gas sector, disposals could be tough.",1
"""Oil and gas asset sales will of course put pressure on market pricing if there are few buyers for these assets,"" Garrett Soden, CEO of Canadian-listed Africa Energy AFE.V, which is part of Lundin Group, said.",1
The majors need to sell assets to boost revenues and reduce debt amassed in the wake of the oil price collapse.,1
"Exxon and BP each hope to sell $25 billion of assets in the coming years, while Shell aims to dispose of $5 billion a year.",1
"Spiro Youakim, global head of natural resources at investment bank Lazard, told Reuters that oil company boards should consider spinning off unwanted oil and gas production and refining businesses to attract new investors as buyers such as private equity lose appetite.",1
"Join over 300,000 Finance professionals who already subscribe to the FT.",0
"Sept 20 (Reuters) - Royal Dutch Shell (RDSa.L) said on Monday it would sell its Permian Basin assets to ConocoPhillips (COP.N) for $9.5 billion in cash, an exit from the largest U.S. oilfield for the energy major shifting its focus to the clean energy transition.",1
"Like all of the world's largest oil companies, Shell is under pressure from investors to reduce fossil-fuel investments to help reduce global carbon emissions and fight climate change.",1
"ConocoPhillips is acquiring around 225,000 net acres, as well as over 600 miles of associated infrastructure, according to its statement announcing the transaction.",1
"To help pay for the deal, ConocoPhillips will hike its own divestment targets by 2023 to between $4 billion and $5 billion, up from between $2 billion and $3 billion.",1
It sold its Appalachian gas assets last year.,1
The sale was announced on the same day Shell disclosed damage to offshore transfer facilities from Hurricane Ida will cut production from the area into early next year.,1
"""This sale came up for us as a very compelling value proposition,"" Sawan said.",1
"U.S. will continue to account for around one-third of Shell's global spending, as it focuses on its Gulf position as well as petrochemicals and renewables.",0
"Shell will return $7 billion of the proceeds to shareholders as dividends on top of existing commitments, with the rest going to pay down debt, it said.",1
