The overall LeClairRyan bankruptcy case remains ongoing.,1
"The Michigan-based maker of electric commercial vans said in a release that interim CEO Shauna McIntyre and its board of directors decided on Sunday to file for Chapter 7 bankruptcy protection, which will allow it to liquidate its assets, after a ""comprehensive review of the company's products and commercialization plans"" turned up no better option for stakeholders.",1
"Entering Chapter 11 would make it easier for the company to lay off employees, experts say.",1
"He would sell lumber and coal on the side, giving him experience that came in handy when, in 1886, a local jeweler rejected a shipment of gold-filled watches from Chicago.",0
The company listed assets in the range of $500 million-$1 billion and liabilities of $500 million-$1 billion in its voluntary petition under Chapter 11 of the U.S. Bankruptcy Code in the District of Delaware.,1
"He would eventually pledge $10.7 billion, either from SoftBank's coffers or those of a separate vehicle established by Son called the Vision Fund, which raised $100 billion from backers including Saudi Arabia.",0
"In 2017, he spent $35 million to buy four apartments in the same building in the tony Manhattan neighborhood of Gramercy Park.",0
One of the most high-profile disputes triggered by the bankruptcy of collapsed Richmond law firm LeClairRyan has been officially resolved.,1
"The company publicly announced changes that day, taking the steps the Financial Times previewed, and made numerous other changes at the same time.",0
"J.C. Penney has done even worse, but Lowe's, Best Buy, and Home Depot have all seen their share prices at least double.",0
"In its bankruptcy filings, Tropical Aquaculture indicated it has only USD 3,553 (EUR 3,468) in cash or cash equivalents on hand.",1
"""He has no experience in either, but he is a warm body to fill the job.",0
But two things had changed in the nine years since Neumann began constructing the myth of WeWork with the help of starry-eyed tech journalists and hungry investors: Theranos and Uber.,0
"This account of the six-week period since that August 14 filing is based on Business Insider's own reporting, as well as that of The Wall Street Journal, the Financial Times, The New York Times, Bloomberg, New York magazine, Vanity Fair, and other publications.",0
A bankruptcy judge approved the sale of the company's assets for $5.2 billion to Lampert in a bankruptcy auction.,1
"The company's advisers continued to survey investors, trying to drum up support for an IPO they hoped would raise at least $3 billion.",0
"""On the other hand, you eat what you kill."")",0
"""This isn't a manufacturer or retailer...so we don't have a very rich track record about how the issues will be addressed, and the classic signposts just aren't there,"" the American Bankruptcy Institute's Williams said.",1
"And Musk disclosed in the interview that the two factories opened in the quarter, in Germany and Texas, are costing the company billions of dollars in losses because supply chain issues have left them with ""puny"" output so far.",0
"Analysts expressed excitement at combining the fading giants' mainstays, cross-selling brands such as Sears' Craftsman and Kmart's Martha Stewart Everyday.",0
